No,City,1991,2001,2011,X,Y
1,London,"6,715,769","7,208,384","8,250,205",1904,2460
2,Birmingham,"965,928","970,892","1,085,810",1609,2121
3,Glasgow,...,"575,132","590,507",1369,1046
4,Liverpool,"538,386","523,783","552,267",1466,1812
5,Bristol,"496,044","516,997","535,907",1437,2402
6,Sheffield,"457,805","469,127","518,090",1711,1850
7,Manchester,"447,863","438,752","510,746",1590,1822
8,Leeds,"424,194","445,795","474,632",1738,1729
9,Edinburgh,"400,632","431,393","459,366",1542,1130
10,Leicester,"377,700","401,448","443,760",1754,2091
11,Bradford,"305,101","311,130","349,561",1674,1714
12,Cardiff,"276,464","296,808","335,145",1319,2369
13,Coventry,"299,316","305,854","325,949",1673,2143
14,Nottingham,"270,222","249,584","289,301",1758,1993
15,Kingston upon Hull,"310,636","301,416","284,321",1942,1771
16,Belfast,"279,237","276,705","280,561",1014,1368
17,Stoke-on-Trent,"266,543","259,252","270,726",1584,1947
18,Newcastle upon Tyne,"255,362","254,777","268,064",1761,1372
19,Derby,"223,836","229,407","255,394",1702,2002
20,Southampton,"210,138","234,224","253,651",1629,2594
21,Portsmouth,...,...,"238,137",1689,2638
22,Plymouth,...,...,"234,982",1095,2677
23,Brighton and Hove,"192,453","206,628","229,700",1865,2652
24,Reading,"213,474",...,"218,705",1724,2450
25,Northampton,"183,082","197,199","215,173",1784,2211
26,Luton,"171,671","185,543","211,228",1854,2332
27,Wolverhampton,...,...,"210,319",1549,2088
28,Aberdeen,"182,133","185,226","195,021",1691,689
29,Bolton,...,...,"194,189",1556,1778
30,Bournemouth,"155,488","167,527","187,503",1536,2636
31,Norwich,"171,304","174,047","186,682",2192,2148
32,Swindon,"145,236","155,432","182,441",1593,2395
33,Swansea,"171,038","169,880","179,485",1164,2310
34,Southend-on-Sea,"158,517","160,257","175,547",2042,2454
35,Middlesbrough,"184,773","175,479","174,700",1813,1522
36,Sunderland,"183,310","177,739","174,286",1795,1412
37,Milton Keynes,"102,428","122,041","171,750",1801,2261
38,Warrington,"152,458","158,195","165,456",1531,1829
39,Huddersfield,"147,847","149,938","162,949",1698,1748
40,Peterborough,"134,788","136,292","161,707",1910,2122
41,Oxford,"118,795","143,016","159,994",1694,2353
42,Slough,"121,811","137,736","155,298",1808,2443
43,Poole,"138,479","144,800","154,718",1517,2632
44,York,"124,609","137,505","152,841",1820,1700
45,Blackpool,"146,262","142,283","147,663",1469,1691
46,Dundee,...,"145,817","147,285",1645,861
47,Cambridge,"109,912","127,713","145,818",1978,2254
48,Ipswich,"130,157","138,718","144,957",2150,2315
49,Birkenhead,"149,164","137,634","142,968",1447,1822
50,Telford,"114,251","131,489","142,723",1581,2080
51,Gloucester,"114,003","123,205","136,362",1516,2295
52,Sale,...,...,"134,022",1560,1821
53,Watford,"113,080","120,960","131,982",1847,2396
54,Newport,"115,522","118,323","128,060",1375,2356
55,Solihull,"118,103","118,907","123,187",1632,2146
56,High Wycombe,"106,123","110,473","120,256",1768,2399
57,Gateshead,"118,212","112,599","120,046",1758,1391
58,Colchester,"96,063","104,390","119,441",2083,2357
59,Blackburn,...,...,"117,963",1582,1703
60,Cheltenham,"102,633","110,320","116,447",1549,2287
61,Exeter,"94,717","106,772","113,507",1225,2597
62,Chelmsford,"97,451","99,962","110,507",2016,2401
63,Doncaster,"103,580","101,056","109,805",1797,1821
64,Rotherham,...,...,"109,691",1761,1862
65,Eastbourne,"94,793","106,562","109,185",1938,2678
66,Worthing,...,...,"109,120",1818,2648
67,Sutton Coldfield,"106,001","105,452","109,015",1625,2092
68,Rochdale,"100,935","102,888","107,926",1618,1772
69,Maidstone,...,...,"107,627",2017,2551
70,Basingstoke,"81,228","93,963","107,355",1681,2498
71,Basildon,"100,924","99,876","107,123",2007,2430
72,Crawley,"88,203","100,547","106,943",1869,2566
73,Stockport,...,...,"105,878",1612,1837
74,Woking,"101,484","105,262","105,367",1803,2499
75,Gillingham,"94,923","98,403","104,157",2057,2547
76,Salford,...,...,"103,886",1566,1805
77,Wigan,"98,070","92,415","103,608",1528,1788
78,St Helens,"106,293","102,629","102,885",1506,1802
79,Lincoln,"97,996","104,221","100,160",1882,1928
80,Worcester,"82,661","94,029","100,153",1539,2194
